id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-12-19 18:53:41,"{""short_code"":""guBlnR"",""original_url"":""https://acme.dev/silver/harvest/1""}"
2,2,25,created,2025-03-31 03:58:50,"{""short_code"":""f1ffhv"",""original_url"":""https://opswise.net/ember/meadow/2""}"
3,3,269,created,2025-09-26 02:32:16,"{""short_code"":""WshuVM"",""original_url"":""https://seeded.app/gold/river/3""}"
4,4,386,created,2025-10-09 01:08:56,"{""short_code"":""oMXKBG"",""original_url"":""https://acme.dev/jade/river/4""}"
5,5,168,created,2025-06-02 09:20:31,"{""short_code"":""38Rbsd"",""original_url"":""https://example.com/amber/trail/5""}"
6,6,391,created,2025-07-31 03:32:11,"{""short_code"":""LKWCOd"",""original_url"":""https://acme.dev/rapid/island/6""}"
7,7,141,created,2026-02-09 01:35:04,"{""short_code"":""ecypxC"",""original_url"":""https://opswise.net/warm/window/7""}"
8,8,224,created,2025-10-23 10:44:18,"{""short_code"":""17bpqZ"",""original_url"":""https://hackstack.io/cobalt/valley/8""}"
9,9,198,created,2025-04-16 22:03:00,"{""short_code"":""dcWixV"",""original_url"":""https://hackstack.io/brisk/journey/9""}"
10,10,109,created,2025-02-05 21:13:02,"{""short_code"":""xdltyy"",""original_url"":""https://opswise.net/vivid/lagoon/10""}"
11,11,358,created,2025-02-23 14:50:15,"{""short_code"":""c9FgGK"",""original_url"":""https://relay.cloud/opal/island/11""}"
12,12,70,created,2025-03-29 18:05:59,"{""short_code"":""Y1GT7L"",""original_url"":""https://hackstack.io/tidy/yard/12""}"
13,13,389,created,2026-01-28 14:58:13,"{""short_code"":""R7SDN8"",""original_url"":""https://hackstack.io/keen/river/13""}"
14,14,77,created,2026-01-22 01:03:06,"{""short_code"":""G8CLaA"",""original_url"":""https://example.com/rapid/zenith/14""}"
15,15,265,created,2025-12-25 04:42:03,"{""short_code"":""Y6K93x"",""original_url"":""https://seeded.app/proud/quartz/15""}"
16,16,274,created,2025-08-08 02:14:51,"{""short_code"":""XMvBpJ"",""original_url"":""https://acme.dev/brisk/lagoon/16""}"
